,x,y,plano,plano_ruido,silla,silla_ruido,cubica,cubica_ruido,modulo,modulo_ruido,estimacion_plano_0.1_1,estimacion_plano_0.1_2,estimacion_silla_0.1_1,estimacion_silla_0.1_2,estimacion_cubica_0.1_1,estimacion_cubica_0.1_2,estimacion_modulo_0.1_1,estimacion_modulo_0.1_2,estimacion_plano_0.5_1,estimacion_plano_0.5_2,estimacion_silla_0.5_1,estimacion_silla_0.5_2,estimacion_cubica_0.5_1,estimacion_cubica_0.5_2,estimacion_modulo_0.5_1,estimacion_modulo_0.5_2,estimacion_plano_1_1,estimacion_plano_1_2,estimacion_silla_1_1,estimacion_silla_1_2,estimacion_cubica_1_1,estimacion_cubica_1_2,estimacion_modulo_1_1,estimacion_modulo_1_2
0,-5.0,-5.0,10.0,11.66481869020365,0.0,-3.4520672273984383,120.0,122.33554660759684,10.0,9.283814094714067,10.623468540642914,11.909555045084241,1.225653719683584,1.1719966776058277,107.5542189803803,117.47081933058529,9.687826165582994,9.858582175837043,10.150568360373118,10.50240518332244,0.3259568246838976,0.14397600473572214,85.78319895322863,112.03919043307921,9.482464167998462,10.157286941949739,9.98946778863743,10.046108567302298,0.17380355623389715,0.5835772715826752,69.2870561191796,88.03978922653909,6.645812697232622,10.971639277789206
1,-4.795918367346939,-5.0,9.387755102040817,5.445072409554085,-1.9991670137442696,9.114314653513569,105.3101173830632,128.25855433407287,9.795918367346939,10.390087688056747,9.896987036851279,10.739396619761733,-0.6427763583997088,-0.9381851240172184,98.20076035880408,102.37265394638146,9.484006930311839,9.510283168041633,9.52366062257651,9.817623320116976,-0.8428170516051948,-1.8736909894609912,80.53315742879073,100.9510380127245,9.302853498417075,9.89177406940263,9.382490905529053,9.423870631289399,-0.23210141584304594,-1.4223179671649429,66.20109249641247,82.36667108005562,6.589655252005599,10.602383743267628
2,-4.591836734693878,-5.0,8.775510204081634,8.879775912822318,-3.9150354019158655,-5.105039736766598,91.81871499120267,81.07453879546078,9.591836734693878,7.392737429096501,9.17923174551435,9.693586016435482,-2.477775409324633,-2.9837974723505396,89.2639254862494,88.89393861720515,9.284370917286193,9.22371732515465,8.897063376609614,9.134847122528166,-1.9836936685185733,-3.7976833898658517,75.45968910359763,90.53549975188308,9.125664557783882,9.624335888995926,8.775649540905839,8.802786578253697,-0.6270532213839396,-3.3440816070402124,63.12843017677935,76.91827809689056,6.536798025411887,10.24849317265614
3,-4.387755102040816,-5.0,8.163265306122447,14.605324822709004,-5.747605164514788,-6.861139466744602,79.4747936659045,24.698296669473116,9.387755102040817,7.639278803181954,8.477127367459584,8.755075627787003,-4.272852725613006,-4.959136043655876,80.67964570932442,76.93474511181185,9.083519828575044,8.9760678590522,8.272135209983523,8.453942268609438,-3.102083460910011,-5.628842862126726,70.62410633478632,80.79277274885808,8.955643534911486,9.352524995885812,8.168940797077193,8.182805987110402,-1.011116430172903,-5.181756472524325,60.06811693950312,71.68651918723866,6.487325899383695,9.910030256305857
4,-4.183673469387755,-5.0,7.551020408163264,8.189363772053515,-7.496876301541025,-5.492067549598032,68.22735424865489,50.11398408318978,9.183673469387756,10.233410972050407,7.757218294320165,7.929154525792696,-5.99893982858735,-6.876519117910919,72.55867902031568,66.41291625490265,8.888650887679402,8.773121335457663,7.644880955890672,7.77669284805061,-4.176004855496562,-7.36988136572945,65.86314310078957,71.67050102717236,8.78085943571259,9.085769579062209,7.562358519543906,7.563869112037195,-1.3843919005107788,-6.935379845447815,57.01907165757063,66.66306306304327,6.441318402272202,9.58705720515848
5,-3.979591836734694,-5.0,6.938775510204081,0.2106521075530985,-9.162848812994584,-3.2404838385851686,58.025397580939924,41.543135392852534,8.979591836734695,8.794922782562296,7.044391679281289,7.15415021974123,-7.678729175556254,-8.658793165566445,64.60002165168333,56.91258433068667,8.689299989366964,8.576013609205859,7.020350841060577,7.1017675561166405,-5.238842433921714,-9.020417103189637,61.394533122172085,63.17790616516984,8.618992885746145,8.813861253132234,6.955892867586688,6.94590640363365,-1.747014877526104,-8.604983865781861,53.980129312332316,61.83945576625249,6.398849817292594,9.279634448234535
6,-3.7755102040816326,-5.0,6.326530612244898,9.762349138265778,-10.745522698875469,-9.741007413486553,48.81792450424568,-12.37773644286176,8.775510204081632,7.80952430477242,6.321746599503147,6.4210420204100584,-9.24229468133215,-10.373685547361426,57.13166002071002,48.65029740525449,8.490990665140046,8.404968893417848,6.394960011558154,6.430515074839919,-6.267761685242843,-10.582388086761297,57.07482916262955,55.27367901546378,8.459141717010517,8.545341276484727,6.349533026230147,6.32884608129695,-2.0991535552470033,-10.190601009356932,50.950065016619064,57.207163692308924,6.359988458763045,8.98781686505088
7,-3.571428571428571,-5.0,5.7142857142857135,8.377967991213293,-12.244897959183675,-12.419515892380128,40.5539358600583,101.97875482485283,8.571428571428571,8.21042037794784,5.601854272948143,5.696668104541954,-10.749923527200682,-11.918017689632052,49.788000180192924,41.046282065209006,8.289153465818998,8.234828668888502,5.768690188693418,5.763181243410633,-7.256415453071445,-12.05675266577049,52.90773942766179,47.95533577915201,8.301739175443714,8.281167986583784,5.743270888927845,5.7126228806617805,-2.4410047001605606,-11.692264850196915,47.92761609745275,52.75760495986285,6.324796724104136,8.711652251051245
8,-3.36734693877551,-5.0,5.1020408163265305,11.020630008088663,-13.660974593919201,-10.504060794332384,33.18243248986391,48.20160535589699,8.36734693877551,7.2577258469941786,4.889875708360222,4.980723023664585,-12.143782490118829,-13.343315944785388,42.79588867982283,34.27267637764814,8.086182980178277,8.072875594177223,5.141952866368991,5.100198094452276,-8.20827140410731,-13.444474753437799,48.911582679960205,41.20188915663364,8.149209396526249,8.021743440697403,5.137101112807803,5.097177105913069,-2.772786295020445,-13.110006547815138,44.91150884730756,48.48218744510746,6.293331585964729,8.451181012076113
9,-3.163265306122449,-5.0,4.4897959183673475,9.590828928931522,-14.993752603082047,-18.329757929328697,26.652415235148627,-22.48237388504391,8.16326530612245,8.870314952303177,4.1984996609503815,4.2770258897118945,-13.416707834753254,-14.64680572377809,36.26396727745417,28.283476766562014,7.884880873732057,7.908990106564647,4.514827872095384,4.441856320695131,-9.121152404528372,-14.746525726293411,45.08258049350531,34.99493316450921,8.002217269869567,7.768554176207598,4.531019917697491,4.4824513021048045,-3.0947290421965175,-14.443852110505492,41.90046634871745,44.37229746057989,6.26564425054178,8.206434160928168
